;;;;;
г. Краснодар, пл. Привокзальная, д. 7;Продажа имущественного комплекса;Объявлен 04.12.2020;4 460 000 руб.;/land/auctions/?id=257020;0.02 га / 159.5 м²
г. Саратов, ул. Им. Азина В.М.;Продажа имущественного комплекса;Объявлен 04.12.2020;4 092 041,83 ₽;/land/auctions/?id=256283;0.21 га / 603.6 м²
Нижегородская обл., р-н Кстовский;Продажа земельного участка;Объявлен 27.11.2020;4 043 000 руб.;/land/auctions/?id=255757;1.17 га
г. Курган, 16 микрорайон;Продажа земельного участка;Объявлен 13.11.2020;3 979 000 руб.;/land/auctions/?id=255531;0.42 га
Нижегородская обл., р-н Кстовский;Продажа земельного участка;Объявлен 03.12.2020;3 954 000 руб.;/land/auctions/?id=257308;0.42 га
Республика Башкортостан, с Миловка, ул. Рябиновая;Продажа земельного участка;Объявлен 04.12.2020;2 282 000 руб.;/land/auctions/?id=256225;0.19 га
Республика Башкортостан, с. Миловка, ул. Рябиновая;Продажа земельного участка;Объявлен 11.12.2020;1 348 000 руб.;/land/auctions/?id=256319;0.11 га
г. Тверь, д. Никифоровское;—;Объявлен 13.11.2020;1 221 000 руб.;/land/auctions/?id=253347;3.74 га
г .Тверь, д.Никифоровское;Аренда земельного участка;Объявлен 18.12.2020;638 000 руб.;/land/auctions/?id=256473;1.77 га
Челябинская обл., п. Западный;Аренда земельного участка;Объявлен 11.12.2020;164 000 руб.;/land/auctions/?id=256351;0.08 га
Челябинская обл., Сосновский район, п. Западный;Аренда земельного участка;Объявлен 04.12.2020;164 000 руб.;/land/auctions/?id=256207;0.08 га
